0,0,1
1,0,0
0.034483,0.58621,0
1,0.10345,0.72414
0,0.34483,0
0.51724,0.51724,1
0.62069,0.31034,0.27586
0,1,0.75862
0,0.51724,0.58621
0.58621,0.82759,0.31034
0.96552,0.62069,0.86207
0.96552,0.068966,0.37931
0.55172,0.65517,0.48276
0.96552,0.51724,0.034483
0.51724,0.44828,0
0.62069,0.75862,1
0.44828,0.37931,0.48276
0.62069,0,0
0.068966,0.65517,0.37931
0.82759,0.65517,0.65517
0.82759,0.31034,0.51724
0.41379,0,0.75862
0.17241,0.37931,0.27586
0,0.58621,0.96552
0.034483,0.24138,0.31034
0.65517,0.34483,0.034483
0.44828,0.37931,0.24138
0,1,0
